artist,avg_popularity,unique_tracks,penalty,adjusted_popularity,normalized_popularity,lineup_tier
Lil Durk,0.193802111,1,0.047619048,0.009228672,0.060781792,Support
Hank Williams,0.192546174,1,0.047619048,0.009168865,0.060387249,Support
Jr.,0.192546174,1,0.047619048,0.009168865,0.060387249,Support
GELO,0.192397475,1,0.047619048,0.009161785,0.060340536,Support
John Mayer,0.19208938,1,0.047619048,0.009147113,0.06024375,Support
$uicideboy$,0.189923483,1,0.047619048,0.009043975,0.05956335,Support
Moneybagg Yo,0.189775726,1,0.047619048,0.009036939,0.059516933,Support
Lainey Wilson,0.18517942,1,0.047619048,0.008818068,0.058073038,Support
Cash Cobain,0.18501715,1,0.047619048,0.00881034,0.058022062,Support
Charlie Wilson,0.18501715,1,0.047619048,0.00881034,0.058022062,Support
Joel De La P,0.180099604,1,0.047619048,0.008576172,0.056477252,Support
Brad Paisley,0.178588391,1,0.047619048,0.008504209,0.056002515,Support
Brent Faiyaz,0.17425066,1,0.047619048,0.00829765,0.05463985,Support
Rick Ross,0.170105541,1,0.047619048,0.008100264,0.053337692,Support
HARDY,0.168034301,1,0.047619048,0.008001633,0.052687027,Support
Allison Russell,0.152920844,1,0.047619048,0.007281945,0.047939248,Support
Sierra Ferrell,0.151980211,1,0.047619048,0.007237153,0.047643755,Support
Brittney Spencer,0.151719261,1,0.047619048,0.007224727,0.04756178,Support
Reyna Roberts,0.151719261,1,0.047619048,0.007224727,0.04756178,Support
Tanner Adell,0.151719261,1,0.047619048,0.007224727,0.04756178,Support
Tiera Kennedy,0.151719261,1,0.047619048,0.007224727,0.04756178,Support
Summer Walker,0.151511873,1,0.047619048,0.007214851,0.04749663,Support
David Kushner,0.14151715,1,0.047619048,0.006738912,0.044356863,Support
Pharrell Williams,0.138221636,1,0.047619048,0.006581983,0.043321602,Support
Rumi Carter,0.137389842,1,0.047619048,0.006542373,0.0430603,Support
A$AP Rocky,0.135775726,1,0.047619048,0.006465511,0.042553237,Support
Myke Towers,0.134349604,1,0.047619048,0.0063976,0.042105232,Support
The Weavers,0.131664908,1,0.047619048,0.006269758,0.041261854,Support
Willie Jones,0.121031662,1,0.047619048,0.005763412,0.0379215,Support
mgk,0.117073879,1,0.047619048,0.005574947,0.036678192,Support
Kelsea Ballerini,0.109145119,1,0.047619048,0.005197387,0.034187431,Support
Burna Boy,0.109108179,1,0.047619048,0.005195628,0.034175827,Support
Dem Jointz,0.108162269,1,0.047619048,0.005150584,0.033878676,Support
Skylar Grey,0.106551451,1,0.047619048,0.005073879,0.03337265,Support
Ez Mil,0.104386544,1,0.047619048,0.004970788,0.032692561,Support
Billy Strings,0.102073879,1,0.047619048,0.004860661,0.031966054,Support
John Moreland,0.094869393,1,0.047619048,0.00451759,0.029702819,Support
Noeline Hofmann,0.04830277,2,0.090909091,0.004391161,0.028868766,Support
Staredd,0.036591029,1,0.047619048,0.00174243,0.011395107,Support
Dj Agus Lima,0.001846966,1,0.047619048,8.80E-05,0.00048052,Support
Ken Carson,0.001255937,1,0.047619048,5.98E-05,0.000294852,Support
Lorde,0.000960422,1,0.047619048,4.57E-05,0.000202019,Support
North West,0.000664908,1,0.047619048,3.17E-05,0.000109185,Support
Mariah the Scientist,0.000591029,1,0.047619048,2.81E-05,8.60E-05,Support
Junior H,0.000332454,1,0.047619048,1.58E-05,4.75E-06,Support
Ivan Cornejo,0.000166227,2,0.090909091,1.51E-05,0,Support
