spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist,normalized_rank,popularity_index,cluster,tsne1,tsne2,tsne_distance,is_outlier
0hKtu53OlIFXVuYkZwcn3o,Cinderella,"Future, Metro Boomin, Travis Scott",34,-8,-8,US,2024-04-19,90,True,169840,WE DON'T TRUST YOU,2024-03-22,0.876,0.412,5,-7.74,0,0.0748,0.431,0.0,0.101,0.15,130.052,4,Future,0.34,0.2837271956275914,2,4.400666,4.6249375,38.81614,True
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",44,4,0,US,2024-04-19,93,False,244684,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,0.522,0.641,8,-6.287,1,0.0318,0.0545,0.0,0.162,0.202,87.51,4,The Weeknd,0.14,0.326734993403694,1,-25.710068,20.483633,41.312336,True
2mhdhTWqT8RhkTlN2yWZZi,7 Minute Drill,J. Cole,33,-3,17,US,2024-04-12,82,True,212213,Might Delete Later,2024-04-05,0.643,0.791,10,-5.106,0,0.237,0.0365,0.0,0.0993,0.741,85.434,4,J. Cole,0.36,0.2435156426686769,1,28.14113,32.66538,46.02408,True
6dpLxbF7lfCAnC9QRTjNLK,Home,Good Neighbours,41,0,4,US,2024-04-12,89,False,157485,Home,2024-01-17,0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002,4,Good Neighbours,0.2,0.2735795954265611,1,-25.946995,22.54585,42.88898,True
1yfKakY4rvI17lk20ekuRA,Crocodile Tearz,J. Cole,43,-11,7,US,2024-04-11,80,True,229186,Might Delete Later,2024-04-05,0.793,0.492,9,-8.583,0,0.0772,0.0527,0.0,0.0646,0.198,86.978,4,J. Cole,0.16,0.236075197889182,1,4.2289257,22.312017,29.451384,True
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,4,0,2,US,2024-04-05,100,False,180304,Beautiful Things,2024-01-18,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,Benson Boone,0.94,0.4134739000213934,1,-28.092115,17.394283,41.203323,True
0TsCBkrq3owPs06HP5Q9Z4,RIIVERDANCE,Beyoncé,46,-6,4,US,2024-04-02,76,True,251986,COWBOY CARTER,2024-03-29,0.699,0.791,7,-8.527,1,0.186,0.456,0.0,0.25,0.43,119.997,4,Beyoncé,0.1,0.1963924802110817,0,-7.7805543,22.552898,31.181992,True
5v7Cm2PyrlJ1NIbVOvNcF5,DESERT EAGLE,Beyoncé,40,-9,10,US,2024-03-31,45,False,72448,COWBOY CARTER,2024-03-27,0.691,0.489,0,-8.461,1,0.0539,0.645,1.61e-06,0.328,0.662,85.032,4,Beyoncé,0.22,0.1016451187335092,2,-3.8784811,-24.501827,36.5377,True
1VNWdmXSbaNrnWod10WIL0,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",49,-1,-12,US,2024-03-28,86,False,244684,The Highlights (Deluxe),2024-02-09,0.531,0.652,8,-6.249,1,0.0325,0.0524,1.39e-06,0.162,0.179,87.521,4,The Weeknd,0.04,0.2608773746701847,1,-25.39253,20.974726,41.408413,True
3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,YG Marley,50,0,-6,US,2024-03-25,92,True,263040,Praise Jah In The Moonlight,2023-12-27,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,4,YG Marley,0.02,0.3039759315271252,1,32.847256,5.9899364,30.765608,True
3QS9ZCtoSCJhmaJ7QNXSAS,act ii: date @ 8 (feat. Drake) - remix,"4batz, Drake",49,-2,1,US,2024-03-22,85,True,231338,act ii: date @ 8 (feat. Drake) [remix],2024-03-08,0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,4,4batz,0.04,0.2303821060206284,2,-17.64702,22.303635,30.135561,True
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,43,-5,-10,US,2024-03-08,90,True,135920,The Life Of Pablo,2016-06-10,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,4,Kanye West,0.16,0.2901813041839426,1,32.076286,5.894433,30.028496,True
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,46,-2,1,US,2024-03-05,86,True,230480,Scarlet,2023-09-20,0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,4,Doja Cat,0.1,0.3050329307895271,1,27.179552,-30.031376,31.86891,True
347AQK5Lyhn6RvB8tBGYxt,STARS,"¥$, Kanye West, Ty Dolla $ign",25,25,25,US,2024-02-17,32,True,115238,VULTURES 1,2024-02-09,0.586,0.572,0,-8.27,0,0.0437,0.271,0.104,0.118,0.29,125.955,4,¥$,0.52,0.0969604221635884,1,-29.696362,9.155698,38.344852,True
6OON4kMjTFqARMFrRbmlwy,STARS,"Kanye West, Ty Dolla $ign",21,-8,29,US,2024-02-16,87,True,115238,VULTURES 1,2024-02-09,0.584,0.567,0,-8.272,0,0.0436,0.258,0.121,0.118,0.266,125.991,4,Kanye West,0.6,0.2080923482849604,1,-29.611002,9.11436,38.250015,True
71MzcOebEC5KoWBbzvFPkj,HOODRAT,"Kanye West, Ty Dolla $ign",35,-8,15,US,2024-02-15,82,True,222982,VULTURES 1,2024-02-09,0.538,0.514,11,-6.568,0,0.0348,0.0631,0.0,0.172,0.248,87.719,4,Kanye West,0.32,0.2386965699208443,1,-26.328775,18.84321,40.708908,True
68mOSKT4uBkKddEAhlMO61,Home,Good Neighbours,33,7,17,US,2024-02-07,82,False,157485,Home,2024-01-17,0.573,0.636,6,-4.493,1,0.0301,0.0299,0.0998,0.116,0.156,77.005,4,Good Neighbours,0.36,0.2446055408970976,1,-26.444616,22.690699,43.349144,True
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,50,-1,0,US,2024-02-07,92,False,229477,1989 (Taylor's Version),2023-10-26,0.596,0.658,0,-7.346,1,0.036,0.0504,0.0,0.127,0.176,100.012,4,Taylor Swift,0.02,0.293176533641161,1,-24.335205,20.495483,40.30829,True
6uIIdjYTxxpWOyWuVXrKQO,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",46,2,0,US,2024-02-02,94,True,191466,Que Onda,2023-08-30,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,3,Calle 24,0.1,0.2884866189219751,1,16.326876,-36.93195,31.876348,True
4yreExU3eRNTe2iJz6X6k3,american dream,21 Savage,15,35,35,US,2024-01-14,0,True,63415,american dream,2024-01-12,0.457,0.365,5,-12.612,1,0.224,0.483,0.000291,0.6,0.331,76.169,5,21 Savage,0.72,0.00132981530343,2,11.92645,39.672283,62.58065,True
02Cp3VTUWNed8hr69BhKz6,dark days,"21 Savage, Mariah the Scientist",35,15,15,US,2024-01-14,0,True,295072,american dream,2024-01-12,0.685,0.582,2,-5.335,0,0.161,0.229,1.47e-05,0.139,0.136,82.343,4,21 Savage,0.32,0.0005910290237467,1,-21.355988,21.147621,38.667618,True
